Built-up,Distance to Highways,Distance to Major Roads,Slope,Distance to CBD,Distance to MIDC,Distance to Stations,Distance to Hospitals,Distance to Airport
1,5735.02,5735.02,4.16874,10569.9,27856.2,8488.09,5823.48,46472.6
0,5695.66,5695.66,1.21712,10760.1,27737.3,8861.43,6166.44,46389.3
0,5513.23,5513.23,0.754894,10361.8,27812.7,8184.01,5548.62,46403.1
0,5623.54,5623.54,0.954841,10654.1,27686.6,8728.35,6035.67,46332.6
0,5609.04,5609.04,4.82254,10685.5,27645.8,8803.86,6107.34,46298.8
0,5592.89,5592.89,13.4057,10746.2,27568.8,8946.29,6246.42,46233.5
0,5410.07,5410.07,2.1343,10227.9,27535.6,8156.52,5487.38,46146.3
0,5303.3,5303.3,0.754894,10734.5,27405.8,9028.41,6330.28,46080.6
0,4240.63,4240.63,1.96786,11204.1,27272,9800.5,7137.86,45967.1
0,5191.39,5191.39,5.25895,10291.4,27226.5,8460.85,5761.25,45878.8
0,4794.37,4794.37,0.754894,10760,27183.2,9198.27,6513.32,45870
0,5129.56,5129.56,0.337615,9927.46,27281,7847.68,5178.89,45882.7
0,5134.3,5134.3,3.72387,10141.6,27219.9,8229.25,5533.76,45857.3
0,5112.69,5112.69,2.05278,9931.22,27239.6,7882.18,5206.19,45847.7
0,5089.93,5089.93,2.38594,10165.2,27143.9,8317.58,5618.34,45791.4
0,4707.71,4707.71,1.06752,9603.47,27268.7,7319.63,4726.88,45812.5
0,4755.64,4755.64,3.94548,9637.15,27245.5,7394.5,4781.4,45801.4
0,5036.16,5036.16,0.675206,10189.1,27036.8,8425.03,5725.52,45695.7
0,3954.66,3954.66,2.88218,11046.2,27004.3,9720.19,7075.42,45700.1
0,4689.61,4689.61,1.50953,9572.45,27189.8,7327.43,4714.97,45743.3
1,5031.15,5031.15,2.71992,10218.5,26999.4,8494.29,5796.29,45663.6
0,3776.31,3776.31,0.675206,11088.7,26948.1,9811.61,7177.97,45644.2
0,4307.59,4307.59,5.12871,10673.6,26880,9248.96,6587.17,45571.9
0,4471.51,4471.51,1.50953,9381.18,27127.5,7047.7,4482.06,45650.9
0,4746.93,4746.93,2.1343,9568.17,27010.5,7453.66,4791.93,45595.6
0,4811.42,4811.42,2.78189,9949.56,26833.7,8185.6,5486.39,45487.8
0,4221.91,4221.91,6.52699,10609.4,26790,9206.92,6550.31,45482.2
0,4743.42,4743.42,3.9311,9639.29,26864.7,7671.79,4980.36,45481
